Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_1913_14_0	omega_1913_14	522914f986fe1fceab90c00f0f6ca2aa	0.807	0.557	0.25	1.254	0.776	0.478	1.008	0.664	0.344	779.578
omega_159_50_0	omega_159_50	ed5a187f00ad40071717bf37bd2b9407	0.807	0.595	0.212	1.028	0.71	0.317	1.175	0.786	0.389	935.835
omega_2166_40_0	omega_2166_40	858e19336dc4c9a5e8e41483c52c96b2	0.807	0.553	0.254	1.24	0.755	0.484	1.022	0.673	0.349	792.479
omega_1567_6_0	omega_1567_6	7674c3a70c0f4088736bf03d668579a9	0.807	0.573	0.234	1.065	0.717	0.348	1.157	0.739	0.418	876.932
omega_737_41_0	omega_737_41	d1cd9cd5aca3f785f737a36c1fbda4e3	0.807	0.574	0.233	1.276	0.836	0.44	0.978	0.647	0.331	756.195
omega_1881_43_0	omega_1881_43	156586bfb8cb16b6b37e24bd4db8ff0d	0.807	0.562	0.245	1.114	0.733	0.381	1.113	0.706	0.406	834.649
omega_2033_40_0	omega_2033_40	87ac33685cb40f1ad826b49a2c11bdd6	0.806	0.56	0.246	1.252	0.814	0.438	1.002	0.643	0.36	752.434
omega_484_5_0	omega_484_5	188c8c45a33ba605cd25ccf499fdc64d	0.806	0.636	0.17	1.2	0.865	0.336	0.963	0.706	0.257	827.581
omega_1979_20_0	omega_1979_20	343e9325c07053f401c2055252bbcca4	0.806	0.554	0.252	1.352	0.889	0.464	0.951	0.595	0.356	692.02
omega_862_16_0	omega_862_16	7adf69d7bd5704c907ebecbe48ec315b	0.806	0.592	0.214	1.185	0.814	0.371	1.02	0.684	0.336	803.365
omega_1343_32_0	omega_1343_32	72abc381bde5d7a4956a00711419d0f3	0.806	0.571	0.235	1.382	0.889	0.493	0.925	0.615	0.31	715.546
omega_1229_38_0	omega_1229_38	d6b3f58bad845e603c47f281c377a732	0.806	0.565	0.241	1.193	0.756	0.437	1.041	0.691	0.35	814.124
omega_1123_12_0	omega_1123_12	50585f547ad9d8f926183501704ac51b	0.805	0.539	0.266	1.437	0.867	0.57	0.921	0.588	0.333	684.095
omega_28_2_0	omega_28_2	03f9fc042dde081f638b1edce59ebdd5	0.805	0.535	0.271	1.494	0.916	0.578	0.9	0.562	0.337	652.015
omega_1848_18_0	omega_1848_18	83d678045cc992d0e61b55fa52a4b843	0.805	0.541	0.264	1.356	0.858	0.498	0.955	0.594	0.361	691.574
omega_685_6_0	omega_685_6	6cded0f970c5b440e49851f76deba5dc	0.805	0.536	0.269	1.282	0.813	0.47	0.998	0.612	0.386	714.986
omega_1053_17_0	omega_1053_17	3c4cee657ea2ad0f115bafafed398519	0.805	0.489	0.316	1.231	0.718	0.513	1.057	0.606	0.451	711.216
omega_1546_4_0	omega_1546_4	9b1fe425e1f0c9c4e65c99e37405e441	0.805	0.564	0.241	1.198	0.793	0.405	1.034	0.661	0.373	776.117
omega_982_10_0	omega_982_10	a0376c7f12075807c01968f7c6f4c79b	0.804	0.586	0.219	1.069	0.728	0.341	1.128	0.75	0.378	889.228
omega_566_12_0	omega_566_12	c0ac82327ef70df7446f1eaebaea137e	0.804	0.541	0.263	1.064	0.694	0.37	1.188	0.71	0.478	841.743
omega_1590_14_0	omega_1590_14	f54966d18ca31bd9a31bf59699757919	0.804	0.579	0.225	1.422	0.922	0.499	0.9	0.608	0.291	707.107
omega_1182_48_0	omega_1182_48	079f80ec88e40ee7d032c17211f6e694	0.804	0.599	0.205	1.113	0.765	0.349	1.067	0.734	0.333	867.186
omega_54_2_0	omega_54_2	3ae6b1f0a0c6157a3366d36061ec0d32	0.804	0.526	0.278	1.181	0.716	0.465	1.073	0.665	0.408	784.321
omega_1056_7_0	omega_1056_7	d720ff56b077febc69845a85def459b5	0.804	0.615	0.189	1.368	0.947	0.421	0.892	0.637	0.256	740.485
omega_35_1_0	omega_35_1	113aae9d0f977185a3bd3a0dcd19e089	0.804	0.58	0.224	1.078	0.768	0.31	1.149	0.703	0.446	828.297
omega_506_22_0	omega_506_22	0352ed1a4b8a5883a8532f5a38857bb5	0.804	0.581	0.222	1.209	0.806	0.403	1.007	0.676	0.331	793.625
omega_1035_14_0	omega_1035_14	f3050f7dbf612e3fa6340139b05463ae	0.804	0.567	0.236	1.13	0.762	0.368	1.087	0.69	0.398	812.423
omega_2015_11_0	omega_2015_11	54a9c7f36faacf1ef63b2b7a79cc23f7	0.804	0.501	0.302	1.143	0.697	0.447	1.125	0.641	0.484	755.987
omega_479_14_0	omega_479_14	a18c7221e2748c09dbbd21d3f7b1cc6d	0.804	0.644	0.16	1.251	0.928	0.323	0.918	0.678	0.24	790.707
omega_825_6_0	omega_825_6	b5f82d5435b075a7b1914f00bdd7cabc	0.804	0.672	0.131	1.173	0.903	0.27	0.929	0.725	0.204	848.964
omega_1029_22_0	omega_1029_22	a3c097f97c86c8b343422d28dcbdca1e	0.804	0.508	0.295	1.088	0.651	0.437	1.175	0.699	0.477	830.937
omega_1596_4_0	omega_1596_4	a5655c2dfe1877d2866c69f138fff474	0.803	0.58	0.223	1.228	0.771	0.458	1.005	0.701	0.304	825.948
omega_1780_43_0	omega_1780_43	9ef2ff8ede2106c5352b44397ae3be5a	0.803	0.527	0.276	1.304	0.796	0.508	0.986	0.609	0.377	711.727
omega_95_16_0	omega_95_16	2ba8f076dee596ca4985bcabaec332a8	0.803	0.529	0.274	1.213	0.759	0.453	1.045	0.636	0.409	746.222
omega_323_34_0	omega_323_34	ef9aabaa1729150d67c88b44cb7754db	0.803	0.576	0.227	1.28	0.779	0.501	0.982	0.689	0.293	810.904
omega_1303_43_0	omega_1303_43	4eb8e69d4cff18b981cbb0afd5dd7b73	0.803	0.664	0.139	1.08	0.85	0.23	1.012	0.752	0.261	884.386
omega_780_1_0	omega_780_1	430445ea04f0a546121fe1598f1ff402	0.803	0.535	0.267	1.175	0.759	0.416	1.073	0.645	0.428	758.046
omega_1416_15_0	omega_1416_15	2a193672f2f24d6f1ee949748826d68a	0.803	0.585	0.218	1.25	0.862	0.388	0.977	0.646	0.331	754.116
omega_1155_5_0	omega_1155_5	07c296a2a2430b931f9d502289cf451a	0.803	0.62	0.183	1.245	0.858	0.388	0.948	0.691	0.257	809.22
omega_1235_28_0	omega_1235_28	adf84e55ef7bf7718b128f1aab0055f5	0.802	0.506	0.296	1.101	0.666	0.435	1.16	0.678	0.482	803.811
omega_1975_40_0	omega_1975_40	d3dffbeea7ca51c442c862a5742f0502	0.802	0.573	0.229	1.182	0.812	0.37	1.036	0.661	0.376	774.581
omega_1735_23_0	omega_1735_23	719c5fa731ea6eaf38757ec327f4d284	0.802	0.597	0.205	1.229	0.846	0.383	0.976	0.67	0.307	783.784
omega_744_21_0	omega_744_21	1e9cacecada3e28ca98fbb3eceb79013	0.802	0.609	0.193	1.189	0.847	0.342	0.992	0.684	0.308	801.257
omega_1066_34_0	omega_1066_34	65695ec9cbc915ac3ecc9f9f84b56df1	0.802	0.591	0.211	1.172	0.822	0.35	1.025	0.677	0.348	793.786
omega_658_31_0	omega_658_31	8257620cb62ff9e46559b97931d65329	0.802	0.558	0.244	1.169	0.748	0.42	1.055	0.686	0.369	809.049
omega_1483_27_0	omega_1483_27	c29f42f4a55465e7d9a088fd98a9b031	0.802	0.609	0.193	0.938	0.661	0.276	1.275	0.885	0.391	1067.751
omega_96_25_0	omega_96_25	1dda3a8e06c2ba01b67dee5ec469a7c2	0.802	0.512	0.29	1.213	0.727	0.486	1.052	0.633	0.419	744.437
omega_461_17_0	omega_461_17	abd39b074af5a0d430d41d0d78fe9a31	0.801	0.587	0.215	1.097	0.742	0.355	1.089	0.737	0.351	872.796
omega_559_2_0	omega_559_2	8d11c00d52d800dab73a0c61ebe9bae7	0.801	0.549	0.253	1.106	0.735	0.371	1.126	0.684	0.442	806.586
omega_1353_5_0	omega_1353_5	42b100b332ac4ed0e179c4991a2f7ffe	0.801	0.502	0.299	1.073	0.652	0.421	1.194	0.686	0.507	815.263
omega_801_19_0	omega_801_19	68c4411fa0889f60906bb5967d80ff91	0.801	0.598	0.203	1.195	0.843	0.352	0.997	0.674	0.323	788.857
omega_2110_15_0	omega_2110_15	d34c9d5622998670196f72ca42ab5c03	0.801	0.515	0.286	1.186	0.741	0.445	1.073	0.629	0.444	738.035
omega_1419_7_0	omega_1419_7	68720f3778e4a005599b0de54076f020	0.801	0.585	0.216	1.142	0.797	0.345	1.054	0.688	0.366	808.371
omega_1904_22_0	omega_1904_22	9e0fed0eb680c8a2df8fd9de917b731d	0.801	0.563	0.238	1.354	0.874	0.48	0.934	0.612	0.321	712.902
omega_1105_34_0	omega_1105_34	7ba6e3841af31fb05b63d562760cd72f	0.801	0.541	0.259	1.11	0.723	0.388	1.123	0.683	0.44	806.56
omega_790_23_0	omega_790_23	1d97fd202e5b34b7afeb63a5b63ee869	0.801	0.515	0.286	1.167	0.698	0.469	1.085	0.662	0.423	782.008
omega_1625_26_0	omega_1625_26	bf1d4a58dd291a8c4819249414ef2354	0.801	0.588	0.213	1.143	0.794	0.349	1.047	0.694	0.353	815.766
omega_1062_2_0	omega_1062_2	0f66f6046d0989ed8843be60069d42bf	0.801	0.552	0.249	1.495	0.905	0.59	0.886	0.586	0.301	680.5
omega_343_46_0	omega_343_46	d36e2b95514f25f7a418ae9833dea776	0.801	0.593	0.208	1.063	0.751	0.313	1.121	0.738	0.383	873.31
omega_1149_13_0	omega_1149_13	e7d2720c6d0b42e75c162323cda09c9f	0.8	0.584	0.216	1.212	0.846	0.366	0.999	0.654	0.345	764.86
omega_1386_21_0	omega_1386_21	09a1778b4ea02267f637e7197a55e0e9	0.8	0.577	0.224	1.225	0.82	0.405	0.993	0.66	0.333	773.466
omega_867_7_0	omega_867_7	152bc746ba98af4694c2593bf1c79525	0.8	0.573	0.227	1.115	0.746	0.369	1.083	0.712	0.371	840.717
omega_666_47_0	omega_666_47	f4e8e007636ee3641713474c9d46112a	0.8	0.574	0.226	1.156	0.762	0.395	1.046	0.7	0.346	824.789
omega_714_22_0	omega_714_22	340c7fad038487a75fa21679a4f7631b	0.8	0.505	0.295	1.24	0.727	0.513	1.033	0.623	0.41	731.599
omega_495_50_0	omega_495_50	6804eb805083fab4b1449fa2602ff28e	0.8	0.551	0.249	1.05	0.697	0.353	1.181	0.725	0.457	860.024
omega_1211_49_0	omega_1211_49	f4af226be9fe2f46c306c45142f5323a	0.8	0.554	0.246	1.16	0.744	0.416	1.06	0.684	0.376	806.391
omega_894_36_0	omega_894_36	e2db1d304f4379f0bbecf5df8f13fc58	0.8	0.491	0.309	1.037	0.618	0.419	1.245	0.705	0.54	841.419
omega_969_6_0	omega_969_6	fd99c4ebebaf592e1c48acd0864275d8	0.8	0.579	0.22	1.316	0.827	0.489	0.945	0.659	0.286	772.079
omega_554_44_0	omega_554_44	eb2a07cc048d52ec9c3dae997665e072	0.799	0.568	0.231	1.187	0.792	0.395	1.026	0.668	0.358	784.093
omega_1276_13_0	omega_1276_13	cb9cd547c8b7b2e811af326a074d0607	0.799	0.6	0.2	1.107	0.782	0.325	1.061	0.72	0.341	848.536
omega_1283_25_0	omega_1283_25	82f8885f90644e427e5cb8c64444eed9	0.799	0.526	0.273	1.171	0.712	0.459	1.071	0.668	0.402	788.86
omega_291_24_0	omega_291_24	ac78551543db3ee3d4ce7a84e210b1ac	0.799	0.52	0.279	1.095	0.683	0.412	1.149	0.685	0.464	811.31
omega_1930_26_0	omega_1930_26	7e392be92286947b5dd037e27c196e79	0.799	0.525	0.274	1.075	0.692	0.383	1.175	0.685	0.49	810.398
omega_818_28_0	omega_818_28	5b620c8d7f8946ef31e23d7d0062fd20	0.799	0.601	0.198	1.103	0.765	0.338	1.06	0.737	0.323	871.081
omega_1500_32_0	omega_1500_32	8138cd9e8230670f92ddf74048b732fa	0.799	0.584	0.215	1.213	0.822	0.391	0.991	0.668	0.323	783.401
omega_104_48_0	omega_104_48	064f4639b78b02671f42ced2c9d385a1	0.799	0.614	0.185	1.262	0.839	0.423	0.943	0.696	0.247	816.831
omega_875_24_0	omega_875_24	33a62250a6592e4d661f4aa80f2e0f15	0.799	0.545	0.253	1.282	0.782	0.5	0.982	0.643	0.339	754.033
omega_753_34_0	omega_753_34	fde1406f6ab3a9dd43fc51874da86436	0.799	0.537	0.262	1.212	0.73	0.482	1.034	0.67	0.364	789.748
omega_2031_42_0	omega_2031_42	8dd17b06d82a74e5a939eca98974bdf3	0.798	0.511	0.288	1.412	0.852	0.56	0.932	0.561	0.372	651.501
omega_957_17_0	omega_957_17	adc9ad9437fbd12f5ee038969a030474	0.798	0.517	0.281	1.151	0.691	0.461	1.092	0.673	0.419	796.112
omega_1955_10_0	omega_1955_10	b7aa8fff90a72362d3d79478bf969cfa	0.798	0.549	0.249	1.27	0.807	0.463	0.983	0.632	0.351	739.707
omega_1335_19_0	omega_1335_19	3c3967ec46aeea409176900f50acd7c6	0.798	0.468	0.33	1.005	0.615	0.39	1.344	0.662	0.682	787.42
omega_2102_31_0	omega_2102_31	1656182979de809011cf944d67cc0ac2	0.798	0.604	0.194	1.14	0.786	0.354	1.023	0.723	0.301	851.739
omega_804_6_0	omega_804_6	3cfa72e5475c6b70aaa113055dc9afa6	0.798	0.598	0.2	1.056	0.708	0.348	1.113	0.793	0.32	945.668
omega_1857_17_0	omega_1857_17	0e55f239c336548e14c4a36c4bbde7b1	0.798	0.551	0.247	1.227	0.763	0.464	1.01	0.665	0.345	782.152
omega_1208_10_0	omega_1208_10	1d419816eadfb7ff075af8abc1b6229c	0.798	0.555	0.243	1.051	0.698	0.353	1.167	0.731	0.437	867.331
omega_732_39_0	omega_732_39	40e8352f70c415f720e8445049212653	0.798	0.632	0.166	1.003	0.737	0.266	1.121	0.817	0.305	972.879
omega_1312_7_0	omega_1312_7	b76a7ceee73ca69426188bf45675d94e	0.798	0.577	0.22	1.112	0.774	0.337	1.083	0.694	0.388	817.408
omega_1603_45_0	omega_1603_45	550519aa7547583937a4037986885b3d	0.798	0.622	0.176	1.129	0.817	0.312	1.009	0.723	0.287	850.286
omega_313_34_0	omega_313_34	34ae0e498fc29394c68fb4a7d47eac85	0.798	0.55	0.247	1.142	0.718	0.423	1.075	0.702	0.373	830.33
omega_75_46_0	omega_75_46	9317342dc51a444995f173fcd5df0b32	0.798	0.647	0.15	1.035	0.789	0.247	1.061	0.783	0.278	926.835
omega_2190_19_0	omega_2190_19	3dedcf7661627165e53fa4dea835f0a2	0.798	0.576	0.222	1.15	0.761	0.388	1.043	0.703	0.341	828.395
omega_691_26_0	omega_691_26	38508fbf99e593fde7543d6f4b0dede1	0.797	0.61	0.187	1.075	0.771	0.304	1.072	0.746	0.327	881.61
omega_43_7_0	omega_43_7	9c3e504af22db6cc31b4ffff71070dd1	0.797	0.597	0.2	1.162	0.812	0.351	1.011	0.693	0.318	814.413
omega_1466_10_0	omega_1466_10	115b9a11c4018664393e941546f4c2a5	0.797	0.589	0.209	1.182	0.814	0.368	1.005	0.68	0.325	797.885
omega_243_20_0	omega_243_20	646b67efdf9af34564f6c6bd7adc2340	0.797	0.555	0.242	1.27	0.813	0.457	0.976	0.636	0.339	744.672
omega_1494_19_0	omega_1494_19	16e7f38afaab326ce0cd12b1c13754cf	0.797	0.515	0.282	1.165	0.706	0.459	1.077	0.655	0.422	772.96
omega_1202_23_0	omega_1202_23	9169b500b74c823cfa50cd1578478dec	0.797	0.588	0.208	1.112	0.749	0.363	1.061	0.733	0.328	867.395
omega_1020_14_0	omega_1020_14	dbc5d986b4501d0a550c3968b3c1a64a	0.796	0.54	0.257	1.199	0.739	0.46	1.034	0.667	0.368	785.093
omega_1415_28_0	omega_1415_28	1f0ad0c90e0bfd508306d3e2f8fb43c9	0.796	0.492	0.305	1.097	0.671	0.426	1.165	0.648	0.517	765.655
omega_1793_11_0	omega_1793_11	edb109649cf48d4625fddcf255dd2288	0.796	0.561	0.235	1.207	0.801	0.406	1.01	0.652	0.358	764.058
omega_537_7_0	omega_537_7	249a89d2b0dd0b32afcf3d87a9d89897	0.796	0.606	0.19	1.269	0.897	0.372	0.931	0.652	0.279	760.098
omega_789_34_0	omega_789_34	b7d1d63b4d932aaa7ee42142e4a8a22f	0.796	0.514	0.281	1.241	0.732	0.51	1.02	0.634	0.386	745.448
omega_779_32_0	omega_779_32	2797da64e95dfe0544530f47b361e2c5	0.796	0.556	0.24	1.453	0.942	0.51	0.887	0.576	0.311	667.53
omega_2136_13_0	omega_2136_13	a84da95d2864634d0da4ed0e90ce0d60	0.796	0.563	0.233	1.144	0.763	0.382	1.057	0.682	0.374	803.456
omega_1342_25_0	omega_1342_25	6e3f0081e6abe5efe2d659591b61d85c	0.796	0.65	0.146	1.135	0.871	0.264	0.965	0.719	0.246	843.36
omega_1112_35_0	omega_1112_35	e5f9a4c0ed81cb76f4d3b8c9df467c49	0.796	0.572	0.223	1.132	0.758	0.374	1.057	0.7	0.357	825.345
omega_1150_28_0	omega_1150_28	15f8318900bd306531000e2bb5df4a9c	0.796	0.529	0.267	1.16	0.709	0.451	1.071	0.676	0.395	797.885
omega_128_5_0	omega_128_5	6c8a06e9ce46a134296c8c0144428b1f	0.795	0.561	0.234	1.285	0.847	0.438	0.959	0.624	0.335	728.704
omega_794_9_0	omega_794_9	511841c6289a1754667a580925a137c0	0.795	0.544	0.252	1.168	0.777	0.391	1.058	0.644	0.414	755.877
omega_1148_2_0	omega_1148_2	6a7b1e03fcbf04daeb7e58936390ad82	0.795	0.55	0.245	1.165	0.755	0.41	1.049	0.67	0.379	788.326
omega_411_6_0	omega_411_6	ae1724407bedebc4a3b62a5db477efb2	0.795	0.626	0.17	1.128	0.797	0.33	1.002	0.744	0.259	877.688
omega_202_3_0	omega_202_3	73030e6183099ad3c730aaffae7e976b	0.795	0.675	0.12	1.121	0.878	0.242	0.937	0.744	0.193	873.843
omega_106_39_0	omega_106_39	f05ca205ca89a44838e6f26e97d5c647	0.795	0.613	0.182	1.084	0.794	0.29	1.057	0.728	0.329	858.498
omega_856_49_0	omega_856_49	ac200a10956971e3c51bd6086ca9b1bf	0.795	0.565	0.23	1.285	0.87	0.414	0.958	0.617	0.341	718.54
omega_584_28_0	omega_584_28	c9cf9411616576632b3b6822c3403520	0.794	0.539	0.255	1.097	0.713	0.384	1.121	0.689	0.433	814.035
omega_1314_27_0	omega_1314_27	822cb7d5f7e2cb287086a81ed2d30f7f	0.794	0.547	0.247	1.034	0.717	0.316	1.228	0.698	0.53	824.893
omega_1090_38_0	omega_1090_38	7d494b38baa596178e76d12e283ad176	0.794	0.527	0.267	1.304	0.732	0.572	0.987	0.653	0.334	768.536
omega_625_1_0	omega_625_1	0682c7331c622c84a21b3da20a7e1e02	0.794	0.506	0.288	1.12	0.692	0.428	1.122	0.653	0.469	770.762
omega_931_25_0	omega_931_25	67c15c68d322027c7ad1b3de72eecfef	0.794	0.482	0.313	1.129	0.626	0.503	1.129	0.676	0.453	804.581
omega_1318_26_0	omega_1318_26	05de15aabba48865d34b0e622c3131f4	0.794	0.575	0.219	1.09	0.75	0.34	1.092	0.712	0.38	840.637
omega_2174_6_0	omega_2174_6	d8855085b9a544dbf7b6bdd60c1ffb3f	0.794	0.581	0.213	1.368	0.928	0.44	0.9	0.608	0.292	706.668
omega_2185_43_0	omega_2185_43	d64706bffd8f4f3ac2830bfcdc2a42d9	0.794	0.558	0.235	1.211	0.785	0.426	1.004	0.659	0.345	773.346
omega_1808_1_0	omega_1808_1	502b4787fe0122e2a3d2ad182f164844	0.793	0.442	0.352	1.196	0.639	0.557	1.077	0.588	0.488	693.818
omega_274_33_0	omega_274_33	dff2d311183b012ebd574a9895868906	0.793	0.56	0.233	1.1	0.733	0.367	1.093	0.704	0.39	831.211
omega_956_10_0	omega_956_10	291681044b1f075a1466d6c8aa172aa9	0.793	0.518	0.274	1.091	0.687	0.404	1.14	0.679	0.461	803.368
omega_57_16_0	omega_57_16	235725bdca4eb71b2c7b1f45b13cd172	0.793	0.547	0.246	1.366	0.835	0.531	0.927	0.613	0.314	715.861
omega_1026_14_0	omega_1026_14	23f08bea5cd1c814c55cc4e889703295	0.792	0.591	0.202	1.207	0.787	0.42	0.983	0.704	0.279	828.396
omega_1694_1_0	omega_1694_1	dae01a3ce2527229f2edd71c508fb205	0.792	0.544	0.249	1.055	0.703	0.352	1.164	0.706	0.458	835.795
omega_1264_22_0	omega_1264_22	50e5d4d4526f38cd2b4700801f10dd50	0.792	0.595	0.197	1.099	0.768	0.331	1.053	0.725	0.328	856.437
omega_396_3_0	omega_396_3	a23b298d3be1d42bbe37bd760c1aa2cc	0.792	0.513	0.279	1.068	0.666	0.402	1.168	0.691	0.476	820.489
omega_1180_42_0	omega_1180_42	8f5e4efbb36aa2b4631fc089c978a42a	0.792	0.6	0.192	1.063	0.749	0.314	1.082	0.751	0.331	889.636
omega_1571_38_0	omega_1571_38	5fda142de585c2cedc5847c99484739a	0.792	0.603	0.189	1.133	0.799	0.334	1.014	0.711	0.303	836.771
omega_91_6_0	omega_91_6	a41c4bcced3f1aba4396ed536d4d2e74	0.792	0.593	0.199	1.173	0.8	0.373	0.995	0.697	0.298	819.155
omega_1387_43_0	omega_1387_43	cb7fe52bfca694ec57adc2ae7e431731	0.792	0.549	0.243	1.148	0.754	0.393	1.056	0.668	0.388	786.58
omega_962_24_0	omega_962_24	0245677b627c93fec5447952717516d8	0.792	0.567	0.224	1.081	0.72	0.361	1.101	0.728	0.373	862.192
omega_15_1_0	omega_15_1	d9767db89684f44d161b32fb0f7bec40	0.792	0.662	0.13	1.05	0.829	0.22	1.007	0.766	0.241	903.082
omega_784_1_0	omega_784_1	18ec9eb5da0299eb230c4671f518d487	0.792	0.517	0.275	1.346	0.841	0.505	0.949	0.573	0.376	666.518
omega_382_30_0	omega_382_30	58949e583b4c8bbf9a9f574567465017	0.791	0.559	0.232	1.167	0.742	0.424	1.033	0.694	0.339	818.226
omega_1388_12_0	omega_1388_12	0dee0954b262dbf557d69e08dcc444a6	0.791	0.598	0.194	1.136	0.81	0.327	1.018	0.695	0.323	816.788
omega_45_48_0	omega_45_48	973ae4a63c46c360efba362ff4205d21	0.791	0.54	0.252	1.079	0.669	0.411	1.131	0.737	0.394	877.542
omega_2019_35_0	omega_2019_35	599708ea53d393044ce5cae343d07dfc	0.791	0.559	0.232	1.186	0.785	0.4	1.016	0.66	0.356	774.578
omega_155_45_0	omega_155_45	4161b60aa1deda7310f4c7449e777c5b	0.791	0.528	0.264	1.209	0.74	0.47	1.023	0.648	0.375	761.806
omega_264_8_0	omega_264_8	7c6b0eb648b59ff4d0b4186ca52b4720	0.791	0.59	0.201	1.188	0.839	0.349	0.987	0.665	0.322	778.824
omega_1719_46_0	omega_1719_46	55098fe4f59d03baa76d0d0749bcf059	0.791	0.604	0.187	1.106	0.809	0.296	1.041	0.704	0.337	827.434
omega_725_1_0	omega_725_1	e1cdd730afd0aad19beb75a5bae60656	0.791	0.519	0.272	1.114	0.702	0.413	1.109	0.666	0.443	786.643
omega_444_26_0	omega_444_26	555f4f5a754c656ea13bd9fe49f22e44	0.791	0.508	0.282	1.392	0.795	0.597	0.934	0.585	0.349	682.652
omega_1099_44_0	omega_1099_44	04631300733515511814933919fea429	0.791	0.523	0.268	1.423	0.896	0.527	0.909	0.556	0.353	645.241
omega_837_41_0	omega_837_41	e775590ab82f55d6a0d3d8ae1fe03fdc	0.79	0.573	0.217	1.239	0.844	0.395	0.967	0.641	0.326	748.706
omega_517_10_0	omega_517_10	7b1f7bb094613fdc59705884c769f733	0.79	0.5	0.29	1.126	0.703	0.423	1.115	0.634	0.48	747.229
omega_1883_38_0	omega_1883_38	2d63926b9e07170038a8215da3854edd	0.79	0.506	0.285	1.089	0.652	0.437	1.142	0.692	0.451	821.915
omega_2029_26_0	omega_2029_26	91b5dad2e6a451b13ac730c12119e327	0.79	0.556	0.235	1.264	0.778	0.487	0.972	0.661	0.312	776.002
omega_1776_41_0	omega_1776_41	42e5e8e4756b8c21ed54aeba0f71cd6c	0.79	0.52	0.27	1.126	0.695	0.431	1.094	0.674	0.421	796.201
omega_869_29_0	omega_869_29	b68517d8c16537a1397ba5073f064f6c	0.79	0.488	0.303	1.157	0.634	0.523	1.097	0.679	0.418	806.654
omega_161_27_0	omega_161_27	e5b3a0da8c8ef2ef747ebe038fdfc5e4	0.79	0.571	0.22	1.161	0.763	0.398	1.022	0.694	0.329	817.128
omega_215_17_0	omega_215_17	1022185a881effdefdd965a2c60f5fe1	0.79	0.567	0.223	1.297	0.871	0.426	0.938	0.619	0.319	721.104
omega_294_36_0	omega_294_36	f92c1db26985a0c1e858717d5780f67b	0.79	0.538	0.252	1.079	0.718	0.361	1.138	0.682	0.455	805.936
omega_1284_46_0	omega_1284_46	5df48ccdf88aed4de586d9763d54bc26	0.79	0.589	0.201	1.1	0.777	0.324	1.056	0.709	0.346	835.935
omega_2160_7_0	omega_2160_7	96b7e84d12b4f2ab889a2a2d5fa7d5d1	0.79	0.519	0.271	1.075	0.674	0.401	1.148	0.692	0.456	821.109
omega_874_15_0	omega_874_15	f8efe4095a6e5f8822ae05ae0a375600	0.79	0.675	0.115	1.083	0.858	0.225	0.95	0.76	0.19	894.029
omega_468_6_0	omega_468_6	a91b7e0f35c2c7e20ed5518f020059c0	0.79	0.501	0.288	1.324	0.828	0.496	0.968	0.56	0.408	651.107
omega_574_46_0	omega_574_46	2f00871631364952a7dec34f08f09e8c	0.79	0.653	0.137	1.059	0.798	0.261	1.005	0.782	0.223	925.334
omega_1080_15_0	omega_1080_15	2202ff2a3f879de0af4359121c2bfbee	0.79	0.598	0.191	1.359	0.934	0.425	0.883	0.625	0.259	726.362
omega_25_17_0	omega_25_17	8c36b82fd3b308ff7a93fa6fdf9331df	0.79	0.555	0.235	1.276	0.822	0.454	0.958	0.631	0.327	737.341
omega_474_24_0	omega_474_24	a3bd39f4233bd2f1b07178eb4acc1d6e	0.789	0.488	0.302	1.236	0.696	0.541	1.026	0.62	0.405	730.096
omega_978_12_0	omega_978_12	cc8ab3c5d5fed26a3c4a2d1f795ef966	0.789	0.591	0.198	1.281	0.875	0.406	0.925	0.646	0.279	753.665
omega_1280_6_0	omega_1280_6	74bfb8070c17eada5e25f481dac5ecc9	0.789	0.56	0.23	1.246	0.841	0.405	0.973	0.626	0.347	730.311
omega_992_18_0	omega_992_18	8468ba865f16a790e3745c25bfb79fc7	0.789	0.621	0.168	0.978	0.747	0.231	1.17	0.786	0.384	933.352
omega_1147_4_0	omega_1147_4	a8ecd11a12521ac853bc0aef091d8de8	0.789	0.591	0.199	0.998	0.697	0.301	1.163	0.795	0.368	948.953
omega_723_2_0	omega_723_2	068766a9d23692f6f358cc484d01c273	0.789	0.519	0.271	1.081	0.696	0.385	1.147	0.67	0.477	791.892
omega_827_36_0	omega_827_36	c7d08fda55006562f1d2e7cd33031316	0.789	0.625	0.164	1.058	0.789	0.268	1.047	0.75	0.298	885.343
omega_519_31_0	omega_519_31	eb5933a01986ab839e6c442c43b9a396	0.789	0.483	0.306	1.318	0.731	0.587	0.977	0.588	0.39	688.449
omega_1350_25_0	omega_1350_25	96f77d33d7d1d410a160809486836a8c	0.789	0.607	0.182	1.06	0.774	0.285	1.071	0.738	0.334	871.592
omega_899_44_0	omega_899_44	b7ddaecd226620f6a340f6299774d787	0.789	0.482	0.307	0.998	0.64	0.358	1.345	0.661	0.684	784.442
omega_66_3_0	omega_66_3	20f8d25de8988cfbc323b500065f0e39	0.789	0.558	0.231	1.178	0.788	0.39	1.018	0.657	0.361	770.465
