Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_58_4_0	omega_58_4	11065841b243b760a9938ebc00113f9e	0.782	0.582	0.2	1.186	0.819	0.366	0.973	0.667	0.305	846.725
omega_2674_48_0	omega_2674_48	5f5423aa483262f1a6bf0e7134b66f8c	0.782	0.563	0.219	1.066	0.692	0.375	1.096	0.751	0.345	967.068
omega_910_14_0	omega_910_14	6b88de66c917cffaf95b981353c8cbc1	0.782	0.572	0.209	1.335	0.841	0.493	0.908	0.641	0.267	811.457
omega_1489_3_0	omega_1489_3	caa57e78deb790a4888220320718ed1a	0.782	0.567	0.215	1.153	0.781	0.372	1.011	0.674	0.337	856.9
omega_2968_38_0	omega_2968_38	f9452907f6ac6d9ef829db1034071282	0.782	0.624	0.157	1.022	0.756	0.266	1.059	0.782	0.277	1004.392
omega_3177_2_0	omega_3177_2	570184f2e72b42334f713552350fb565	0.781	0.637	0.145	1.31	0.919	0.391	0.861	0.675	0.187	852.354
omega_2077_1_0	omega_2077_1	29abde014c097ab852b030629e4b0507	0.781	0.579	0.203	1.103	0.754	0.349	1.039	0.713	0.326	911.662
omega_240_36_0	omega_240_36	680931a83eb233671d777c3f51ec7be2	0.781	0.595	0.187	1.206	0.792	0.414	0.959	0.705	0.254	898.054
omega_286_50_0	omega_286_50	04864f74f8ba1c9bdf39d64ff5895581	0.781	0.592	0.189	1.217	0.854	0.363	0.942	0.659	0.283	833.978
omega_3272_2_0	omega_3272_2	8d192f911bebdcf016d41d59ec481178	0.781	0.58	0.201	1.43	0.958	0.472	0.854	0.595	0.259	747.595
omega_1214_15_0	omega_1214_15	888421a8963ea903d0dab897661f46be	0.781	0.615	0.166	1.232	0.857	0.375	0.915	0.686	0.229	869.676
omega_256_1_0	omega_256_1	2e03b3ca05440c7017b5f64cea367024	0.781	0.586	0.195	1.322	0.899	0.423	0.893	0.627	0.266	790.407
omega_2907_9_0	omega_2907_9	948cb910a325d2850ca84c795b8702ea	0.781	0.614	0.167	1.174	0.812	0.362	0.953	0.716	0.236	912.16
omega_2572_49_0	omega_2572_49	624e28b0ac3dc032784941a37ec8c8b4	0.781	0.631	0.15	1.067	0.785	0.281	1.006	0.762	0.244	975.131
omega_1669_42_0	omega_1669_42	ea8b4f918746c008274565b5cc3113d2	0.781	0.592	0.189	1.06	0.715	0.345	1.069	0.775	0.293	998.75
omega_2833_9_0	omega_2833_9	bcf1512865385e79e9f738b336ebcb4d	0.781	0.6	0.181	1.229	0.891	0.338	0.927	0.647	0.28	817.413
omega_2984_1_0	omega_2984_1	30add886c91cf9adda05d4e14e64b5c2	0.781	0.569	0.212	1.133	0.787	0.347	1.025	0.673	0.352	855.944
omega_597_27_0	omega_597_27	9e866824f1d8ace702119cce436f9033	0.781	0.575	0.206	1.239	0.82	0.419	0.946	0.657	0.289	833.212
omega_3066_7_0	omega_3066_7	8a579d11c9bdc02868671fe5800d3cf0	0.781	0.579	0.202	1.312	0.869	0.443	0.905	0.634	0.271	800.26
omega_1008_1_0	omega_1008_1	7762745263ad95b2aecd841bba2aa465	0.781	0.564	0.217	1.135	0.726	0.409	1.032	0.716	0.315	917.735
omega_626_6_0	omega_626_6	4cb8a0adf723cf31f77631aa7725b5ca	0.78	0.597	0.183	1.098	0.773	0.325	1.02	0.724	0.295	925.379
omega_746_21_0	omega_746_21	5f521e55174c76dabddc19315a652353	0.78	0.512	0.268	1.28	0.795	0.485	0.965	0.59	0.375	745.965
omega_2181_33_0	omega_2181_33	9e0070c16ddd90b71b153297fd311f6f	0.78	0.636	0.144	1.137	0.822	0.315	0.948	0.738	0.209	941.36
omega_549_1_0	omega_549_1	7df93083a491b5facaea722829f20184	0.78	0.555	0.225	1.353	0.93	0.422	0.905	0.579	0.326	726.88
omega_2494_9_0	omega_2494_9	c01059cda4c17f363d4719011e9b09f4	0.78	0.571	0.209	1.347	0.915	0.431	0.892	0.603	0.289	758.41
omega_3032_41_0	omega_3032_41	990310a7bd2529cb9c643452709ab9f6	0.78	0.626	0.155	1.086	0.82	0.266	0.994	0.726	0.269	924.102
omega_359_3_0	omega_359_3	bdbba98c5c45a0b3d7b66a3973175e90	0.78	0.6	0.18	1.267	0.912	0.355	0.905	0.637	0.268	802.704
omega_3400_7_0	omega_3400_7	9ac909e167763ef905926be87ee97291	0.78	0.594	0.187	1.343	0.906	0.437	0.878	0.632	0.246	797.253
omega_3316_39_0	omega_3316_39	66facd03af29a8c59b8f69d8faf602e5	0.78	0.544	0.236	1.353	0.845	0.508	0.91	0.605	0.305	763.149
omega_1289_6_0	omega_1289_6	5ec2a9a4f010cb020edc73ae538285ff	0.78	0.578	0.203	1.165	0.79	0.375	0.988	0.682	0.306	868.207
omega_2521_35_0	omega_2521_35	b7c343eaee0dcb795c0cb2f5fda7b491	0.78	0.592	0.188	1.146	0.827	0.32	0.99	0.676	0.314	857.563
omega_825_38_0	omega_825_38	e45ea3a0d9ea64044f71b907096efb3a	0.78	0.536	0.244	1.241	0.761	0.479	0.976	0.644	0.332	818.667
omega_2845_20_0	omega_2845_20	41b0a1595afdd56cc98f13928cc0b015	0.78	0.531	0.249	1.318	0.778	0.54	0.942	0.626	0.316	793.884
omega_2163_46_0	omega_2163_46	74625f56d8a683f9d37b0f94e01382b6	0.78	0.535	0.245	1.041	0.611	0.43	1.174	0.812	0.362	1059.599
omega_3477_2_0	omega_3477_2	1c6e749b7fc0627f09b83a82f68b6001	0.78	0.632	0.147	1.267	0.974	0.293	0.872	0.643	0.229	809.41
omega_1257_29_0	omega_1257_29	f6f5bd5534df6f6d007d6cdcd3a1282a	0.78	0.615	0.165	1.379	0.941	0.438	0.849	0.639	0.21	805.24
omega_722_21_0	omega_722_21	67e6989d291dd73019387aa7786759b7	0.78	0.571	0.209	1.391	0.897	0.494	0.877	0.611	0.266	769.8
omega_679_35_0	omega_679_35	45b2d0fcdd72523315a43b685043f620	0.78	0.589	0.191	1.181	0.788	0.393	0.971	0.7	0.27	892.274
omega_862_12_0	omega_862_12	1229476e06764a48464ba7ac1fe714cb	0.78	0.559	0.221	1.256	0.811	0.445	0.947	0.643	0.304	814.997
omega_893_3_0	omega_893_3	10ac7111d44ba765116bf63717c5146d	0.78	0.57	0.21	1.158	0.817	0.341	1.007	0.653	0.354	827.651
omega_882_4_0	omega_882_4	000e41ffa54181cc8fd323c2d7c54da9	0.78	0.543	0.236	1.18	0.751	0.429	1.007	0.662	0.345	843.651
omega_2397_2_0	omega_2397_2	41fa55b1a21c087f75a9068704420ed8	0.78	0.546	0.234	1.818	0.994	0.824	0.794	0.548	0.246	685.207
omega_2236_7_0	omega_2236_7	c8ddc2b92dd5d6e2efbe7d73bf6d0985	0.78	0.68	0.1	1.04	0.848	0.192	0.946	0.774	0.172	987.478
omega_1079_29_0	omega_1079_29	6a462356a873f77a892ed7294fad68a6	0.779	0.605	0.175	1.243	0.851	0.392	0.916	0.676	0.24	857.275
omega_368_6_0	omega_368_6	7b407d18c2798d80f4b349af8efda68f	0.779	0.506	0.273	1.485	0.876	0.609	0.876	0.545	0.331	684.865
omega_1527_4_0	omega_1527_4	347772e4129402103dac74f29525d749	0.779	0.601	0.179	1.204	0.848	0.356	0.937	0.673	0.264	852.959
omega_200_38_0	omega_200_38	f72304d18476385732bde1e37cbbc42b	0.779	0.549	0.23	1.117	0.712	0.405	1.054	0.707	0.347	905.363
omega_150_4_0	omega_150_4	42fb95cedd69e5dbfb33134e9f398b58	0.779	0.54	0.24	1.314	0.923	0.391	0.947	0.565	0.382	708.962
omega_742_1_0	omega_742_1	3702333d7efab6ba2bfef126f2fdfcca	0.779	0.523	0.256	1.263	0.806	0.457	0.966	0.598	0.368	756.083
omega_2036_1_0	omega_2036_1	889ee60bde18e568f16ef054ce626a0d	0.779	0.609	0.171	1.133	0.821	0.312	0.975	0.702	0.274	892.355
omega_1016_5_0	omega_1016_5	093bca3798c59fe0e824671e06c1f2d3	0.779	0.545	0.234	1.297	0.859	0.438	0.933	0.599	0.334	754.71
omega_2766_43_0	omega_2766_43	d62ff7a9b45ec4dc3644ad0a942f486e	0.779	0.632	0.147	1.1	0.807	0.293	0.972	0.745	0.228	950.695
omega_1884_1_0	omega_1884_1	eb69d15176dcacabf367c58dd46a2dd9	0.779	0.576	0.203	1.339	0.95	0.39	0.891	0.594	0.297	746.48
omega_3486_47_0	omega_3486_47	d14077ae5da44ffb42738b54a8e79791	0.779	0.577	0.202	1.22	0.766	0.454	0.968	0.702	0.266	895.22
omega_611_41_0	omega_611_41	f71845f713493f1ac68dce0b9b138940	0.779	0.567	0.212	1.212	0.797	0.415	0.965	0.662	0.303	841.254
omega_2810_1_0	omega_2810_1	1a3419482b327c8e9e098c13c0ddbb29	0.779	0.549	0.23	1.33	0.807	0.523	0.923	0.633	0.29	801.226
omega_1089_29_0	omega_1089_29	c0a50e87525d12f07c2adf285e4b49bb	0.779	0.553	0.226	1.203	0.736	0.467	0.994	0.689	0.305	880.475
omega_1131_11_0	omega_1131_11	bb83f8588199767f99c0e1666a985ccc	0.779	0.57	0.208	1.416	0.823	0.593	0.894	0.651	0.243	824.297
omega_2217_16_0	omega_2217_16	aec4112a77f10c53bbaf9b1d59c07c86	0.779	0.584	0.195	1.254	0.832	0.421	0.928	0.662	0.266	838.863
omega_451_49_0	omega_451_49	dc8b38a246f79f3d5b1db570deb0f3f0	0.779	0.566	0.213	1.197	0.751	0.446	0.986	0.696	0.29	888.256
omega_2481_8_0	omega_2481_8	1835691049925816854135ffb24cd4e6	0.779	0.632	0.147	1.28	0.99	0.289	0.866	0.636	0.23	798.929
omega_3059_7_0	omega_3059_7	1dcbcde23fa1d63c37f1070bfbf3f068	0.779	0.572	0.207	1.23	0.822	0.409	0.948	0.653	0.295	827.275
omega_2776_16_0	omega_2776_16	0be1e1f30e8b0392a3b12b9beb981f07	0.779	0.493	0.286	1.322	0.801	0.521	0.949	0.562	0.387	708.616
omega_2153_2_0	omega_2153_2	d805c3d9ebe591eb1c104ce708655266	0.778	0.546	0.233	1.194	0.746	0.448	0.996	0.67	0.326	854.58
omega_1711_40_0	omega_1711_40	52850b4b5bfdfe7d4e84b8c25f99c329	0.778	0.5	0.279	1.35	0.839	0.511	0.933	0.553	0.38	695.688
omega_2251_2_0	omega_2251_2	23e7759a99012c10af62f2fa60f357a1	0.778	0.603	0.176	1.194	0.781	0.413	0.96	0.725	0.234	926.153
omega_1409_9_0	omega_1409_9	1aa75e5fc17adf88793d655b1711d04e	0.778	0.526	0.252	1.164	0.702	0.462	1.034	0.677	0.357	866.4
omega_929_42_0	omega_929_42	a43d3aca64f0c7ce27f0b2016ed77564	0.778	0.553	0.226	1.326	0.799	0.527	0.925	0.642	0.283	813.614
omega_2712_13_0	omega_2712_13	158de93b56284a027764e024b958f423	0.778	0.557	0.221	1.002	0.642	0.36	1.173	0.809	0.364	1052.389
omega_1317_44_0	omega_1317_44	6bf7c02ce2010b9d9405ccd96454c3a4	0.778	0.563	0.216	1.129	0.751	0.378	1.026	0.692	0.334	882.917
omega_2489_6_0	omega_2489_6	b1ca396c9db758dd6ef84acf751b13de	0.778	0.531	0.248	1.319	0.851	0.467	0.93	0.585	0.345	736.823
omega_2821_6_0	omega_2821_6	5cd63008be4f0da0d76020322101b7e1	0.778	0.642	0.137	1.199	0.862	0.337	0.902	0.715	0.187	907.533
omega_528_4_0	omega_528_4	44279609ae787cc38ed15499262336f7	0.778	0.664	0.114	1.1	0.894	0.206	0.924	0.721	0.203	914.736
omega_318_10_0	omega_318_10	52cc2dcdc4b30e524c528e81c443972e	0.778	0.552	0.226	1.168	0.789	0.379	1.007	0.648	0.359	822.546
omega_3088_8_0	omega_3088_8	034b4dc775a4b6e02246e5dc7145f008	0.778	0.552	0.226	1.098	0.79	0.308	1.105	0.648	0.457	822.234
omega_1128_13_0	omega_1128_13	a1423ebf1d9b0e677169e254bb407534	0.778	0.53	0.249	1.246	0.741	0.504	0.978	0.649	0.329	826.881
omega_2928_1_0	omega_2928_1	296e95efc0fc3bdc62f566fa722ca805	0.778	0.614	0.164	1.146	0.818	0.328	0.958	0.712	0.247	905.706
omega_188_8_0	omega_188_8	b84ed1747d6bdb59d6c11fe78c7de579	0.778	0.676	0.102	1.1	0.896	0.204	0.903	0.734	0.169	930.917
omega_1103_45_0	omega_1103_45	d8c558110c64c8223da96e86635edb5d	0.778	0.493	0.285	1.447	0.816	0.631	0.897	0.554	0.343	697.697
omega_2899_3_0	omega_2899_3	e23acf3cf391cb8c7aaad7bc3f1d645a	0.778	0.599	0.179	1.286	0.887	0.398	0.894	0.648	0.246	818.368
omega_868_47_0	omega_868_47	83afb021f8aceb7bd2515d77a45820f6	0.778	0.64	0.138	1.072	0.81	0.262	0.979	0.753	0.226	961.232
omega_1414_26_0	omega_1414_26	b9329c78b9f76526f11fce3f0136d51f	0.778	0.577	0.201	1.079	0.733	0.346	1.054	0.731	0.323	936.914
omega_871_20_0	omega_871_20	1ea45b9f2ce3f42f8949737cd1f1f4c7	0.778	0.682	0.095	1.102	0.904	0.198	0.891	0.736	0.156	933.333
omega_402_18_0	omega_402_18	f4078cc7f13a3fdcca23a58381c5e6eb	0.778	0.629	0.149	1.196	0.896	0.3	0.907	0.679	0.228	858.363
omega_296_29_0	omega_296_29	ce0f3b78f3d8ec69b184fc605298bae0	0.778	0.579	0.198	1.188	0.799	0.389	0.966	0.679	0.288	862.788
omega_2726_40_0	omega_2726_40	b4f7dc52ba83a5a30e8cc1a77c3262b2	0.778	0.598	0.18	1.173	0.813	0.36	0.957	0.693	0.264	880.79
omega_516_45_0	omega_516_45	c8863059896d1ada20cca495c44fcd60	0.777	0.556	0.221	0.952	0.616	0.336	1.244	0.852	0.392	1115.475
omega_3396_2_0	omega_3396_2	bdd8a44227de5f81fd8471be9d556c2d	0.777	0.632	0.146	1.063	0.824	0.239	1.002	0.73	0.272	930.344
omega_854_23_0	omega_854_23	c62a0482313892cb9130c449aaa3b242	0.777	0.615	0.162	1.197	0.829	0.368	0.93	0.704	0.225	895.599
omega_3171_38_0	omega_3171_38	1f883b3ac33ad6e317b387d600d349fc	0.777	0.588	0.189	1.137	0.758	0.38	0.998	0.724	0.274	926.154
omega_2775_1_0	omega_2775_1	9eedbe8968caec1dc46bccbcc37b307e	0.777	0.583	0.194	1.226	0.838	0.389	0.937	0.657	0.28	832.152
omega_3237_13_0	omega_3237_13	608d225e252d4eb6f7a796e0fd7163df	0.777	0.553	0.224	1.187	0.789	0.398	0.988	0.65	0.338	824.596
omega_10_23_0	omega_10_23	96ede5de5da62c7acddf420887aa65b8	0.777	0.631	0.146	1.094	0.798	0.296	0.974	0.751	0.223	959.513
omega_1919_4_0	omega_1919_4	a6679c195c4e9e0939a02aca10b0962a	0.777	0.541	0.236	1.253	0.842	0.411	0.959	0.602	0.357	759.689
omega_213_24_0	omega_213_24	1723c869fcc4a91d6551c0ea4aa82436	0.777	0.579	0.198	1.197	0.793	0.403	0.962	0.682	0.279	867.795
omega_2804_38_0	omega_2804_38	75b948f2c1fb8a7b8ea89f2b435b97ac	0.777	0.532	0.245	1.302	0.818	0.485	0.935	0.604	0.331	762.725
omega_1029_5_0	omega_1029_5	a5a0bf803f3138e2fb4c3934df3930f6	0.777	0.612	0.165	1.173	0.815	0.358	0.945	0.711	0.234	904.443
omega_2710_46_0	omega_2710_46	f18927fab7ae6a6ca8e55fd68fa1d56b	0.777	0.607	0.17	1.151	0.854	0.297	0.962	0.677	0.285	857.696
omega_2412_27_0	omega_2412_27	30a82cebc8fb86d0b54f562a06769c71	0.777	0.537	0.239	1.466	0.914	0.552	0.863	0.566	0.297	710.424
omega_1807_1_0	omega_1807_1	e493f732aa4bb3e4c9df71dc5fe15c9c	0.777	0.586	0.19	1.22	0.862	0.359	0.935	0.647	0.288	818.468
omega_801_43_0	omega_801_43	1e9cacecada3e28ca98fbb3eceb79013	0.776	0.58	0.196	1.245	0.856	0.388	0.927	0.643	0.284	812.766
omega_2873_44_0	omega_2873_44	e06638a656392cd2e0bcdfaa133e6eec	0.776	0.563	0.214	1.323	0.854	0.469	0.905	0.623	0.282	786.289
omega_3297_2_0	omega_3297_2	3e9a977c7fa75cb993ecd6e6ec3106e2	0.776	0.58	0.197	1.231	0.794	0.437	0.946	0.683	0.263	868.422
omega_1422_5_0	omega_1422_5	dea4b96ff1b45a4c10f8c7426ed59307	0.776	0.598	0.179	1.159	0.831	0.328	0.963	0.68	0.282	863.126
omega_1521_20_0	omega_1521_20	2deed11fe68c400337ca4b072ca3fa6e	0.776	0.609	0.167	1.154	0.809	0.345	0.956	0.711	0.245	905.9
omega_734_4_0	omega_734_4	3f120fad6876e6c14302ee40a13a3c10	0.776	0.552	0.224	1.443	0.895	0.548	0.865	0.59	0.275	742.703
omega_553_17_0	omega_553_17	27a0385e22d04e66c5b9d4a6ecf667f3	0.776	0.569	0.207	1.372	0.843	0.529	0.891	0.637	0.253	805.876
omega_595_8_0	omega_595_8	1c50416dab31d01cff8ad0d760a7ddc9	0.776	0.576	0.2	1.22	0.809	0.412	0.947	0.667	0.28	847.159
omega_902_21_0	omega_902_21	5fade9975a1cd62e76f541235a248a4b	0.776	0.517	0.259	1.294	0.774	0.521	0.949	0.609	0.34	772.158
omega_2811_6_0	omega_2811_6	8430b29ad4aebd52bfb8339fc9cda96e	0.776	0.553	0.223	1.37	0.926	0.443	0.888	0.578	0.31	725.952
omega_1365_2_0	omega_1365_2	c7f7bd0a89c2d039519a08ecf88beb4a	0.776	0.618	0.158	1.26	0.911	0.348	0.881	0.658	0.223	830.521
omega_1314_20_0	omega_1314_20	3ef321b370c8067744740f7639cff179	0.776	0.589	0.187	1.151	0.784	0.367	0.979	0.703	0.276	896.23
omega_2904_36_0	omega_2904_36	15e983191f3fc2412fb3bbee61f237d6	0.776	0.583	0.193	1.344	0.841	0.504	0.893	0.655	0.239	829.213
omega_3102_7_0	omega_3102_7	c8052c8bfdb56ad13523e5f1821e2878	0.776	0.524	0.252	1.561	0.869	0.692	0.852	0.569	0.283	715.837
omega_1413_11_0	omega_1413_11	b4544c1614fd9cae8c23a0769361d0e9	0.776	0.526	0.25	1.138	0.704	0.433	1.046	0.675	0.371	863.139
omega_1129_5_0	omega_1129_5	f9611b4136a92e863a821692cc406a4b	0.776	0.507	0.269	1.197	0.713	0.483	1.014	0.637	0.377	811.17
omega_3369_15_0	omega_3369_15	df9d157b9f6886eafb4f53313fd4cb61	0.776	0.56	0.216	1.11	0.814	0.296	1.086	0.642	0.444	813.281
omega_3454_8_0	omega_3454_8	9233f75806b3509616cb614ce1f0108d	0.776	0.59	0.185	1.246	0.835	0.412	0.921	0.668	0.252	847.521
omega_1733_39_0	omega_1733_39	13ee0a172edb604c1ca9e37c8bf6873a	0.776	0.557	0.219	1.094	0.649	0.445	1.097	0.796	0.301	1033.584
omega_1463_4_0	omega_1463_4	99b86acd6412468100ca163ccc72fffa	0.775	0.594	0.181	1.186	0.83	0.357	0.946	0.676	0.27	858.179
omega_3278_4_0	omega_3278_4	6ab45e5c91393a0c42d9c50cdca3ed5b	0.775	0.631	0.145	1.112	0.799	0.313	0.962	0.749	0.213	957.066
omega_2673_47_0	omega_2673_47	acb580c1c3f12b9e13877e53059c112b	0.775	0.499	0.276	1.298	0.746	0.552	0.958	0.601	0.356	762.488
omega_467_37_0	omega_467_37	e96a805886e414248cc69e9077d9ae1b	0.775	0.536	0.24	1.248	0.792	0.456	0.959	0.623	0.336	789.758
omega_1827_21_0	omega_1827_21	dfdb212dba00418ecd355fb0d5bb3132	0.775	0.581	0.194	1.307	0.801	0.506	0.919	0.679	0.24	862.948
omega_3002_3_0	omega_3002_3	280c4a83f5f04fd140015463d015c999	0.775	0.576	0.199	1.241	0.831	0.41	0.932	0.653	0.279	826.827
omega_2637_29_0	omega_2637_29	83fe116af98c725cc731e21bcd849102	0.775	0.63	0.145	1.096	0.824	0.272	0.965	0.728	0.236	927.627
omega_3148_37_0	omega_3148_37	5e1122219db1d49a08f6e6aaee759529	0.775	0.504	0.272	1.371	0.747	0.624	0.932	0.607	0.325	770.333
omega_3151_24_0	omega_3151_24	24fc43c599ae4387471c728ba48b7bd1	0.775	0.628	0.147	1.174	0.87	0.305	0.915	0.693	0.222	878.733
omega_49_9_0	omega_49_9	0bb4efe031275d1ea97510fc3eed871b	0.775	0.586	0.189	1.116	0.776	0.34	1.004	0.705	0.299	899.751
omega_3175_16_0	omega_3175_16	1686c2fb374a1fc1993a47b125bbac53	0.775	0.606	0.169	1.382	0.884	0.498	0.862	0.658	0.204	831.875
omega_360_50_0	omega_360_50	05d5ba826158df8e691f53be696e2923	0.775	0.595	0.18	1.221	0.847	0.374	0.924	0.666	0.258	843.889
omega_815_1_0	omega_815_1	909b745f301f4ed650424dc2fefba532	0.775	0.563	0.212	1.226	0.817	0.409	0.95	0.644	0.306	816.097
omega_593_4_0	omega_593_4	db6dbe435db1f03bcb07cd22e8e93ba4	0.775	0.574	0.201	1.286	0.831	0.454	0.914	0.649	0.265	822.235
omega_2359_4_0	omega_2359_4	7d6c026aa8210948219992bd28f0e3f6	0.775	0.602	0.173	1.229	0.806	0.423	0.93	0.703	0.227	895.091
omega_798_30_0	omega_798_30	b40a57346ffbe9d875481e3603c20e0d	0.775	0.589	0.186	0.967	0.69	0.277	1.162	0.802	0.36	1037.018
omega_2809_10_0	omega_2809_10	c6d2637900b10dcea343c7e0bc64f210	0.775	0.585	0.19	1.189	0.776	0.413	0.964	0.704	0.26	897.52
omega_863_12_0	omega_863_12	dd24a08359e38a32aa3fbe83da0c00b1	0.775	0.564	0.211	1.077	0.711	0.367	1.063	0.732	0.331	940.4
omega_86_33_0	omega_86_33	acc9711118fd385f6b0336127d7fbbc6	0.775	0.529	0.245	1.175	0.711	0.465	1.017	0.675	0.342	862.568
omega_3014_43_0	omega_3014_43	63d2706b97a3253f6ed2f9e4eb5ab1cf	0.775	0.578	0.197	1.273	0.886	0.387	0.91	0.624	0.286	787.341
omega_2558_43_0	omega_2558_43	cb5cc1b43ae7fc88d05f47c64e0bb60f	0.774	0.559	0.215	1.222	0.762	0.46	0.966	0.678	0.288	863.363
omega_1834_29_0	omega_1834_29	347bbf711a7b00b9681d88c1e72b7f57	0.774	0.582	0.192	1.017	0.699	0.318	1.104	0.777	0.327	1002.163
omega_2940_10_0	omega_2940_10	646da72d7f390bd44914551ceffad0d7	0.774	0.646	0.129	1.151	0.865	0.287	0.907	0.718	0.189	912.222
omega_981_5_0	omega_981_5	0b11d588cf017cf61bb129964f787b53	0.774	0.572	0.202	1.106	0.734	0.373	1.028	0.722	0.306	924.811
omega_942_2_0	omega_942_2	67f65542d7990e4205736142c9c232f4	0.774	0.604	0.17	1.212	0.845	0.366	0.92	0.679	0.241	861.021
omega_342_22_0	omega_342_22	cc4a6180313d4391a935711b461fa394	0.774	0.555	0.219	1.308	0.8	0.508	0.923	0.645	0.278	817.67
omega_2253_50_0	omega_2253_50	e9246de2fb250ab33c171950e5a0d158	0.774	0.582	0.191	1.332	0.906	0.426	0.878	0.62	0.258	781.076
omega_2130_16_0	omega_2130_16	4e56be93c92281922a380aa4c371f78b	0.773	0.59	0.183	1.106	0.774	0.332	1.003	0.713	0.29	909.696
omega_2145_28_0	omega_2145_28	7d70930b11acee8076e9d6bd7230046a	0.773	0.531	0.242	1.093	0.667	0.426	1.082	0.723	0.36	930.647
omega_307_5_0	omega_307_5	5752fb5a0f14f006813c2f4b280492f4	0.773	0.519	0.255	1.442	0.817	0.625	0.888	0.587	0.301	740.851
omega_965_34_0	omega_965_34	f79a9a0a64330ad578ab5358409e3b3a	0.773	0.548	0.225	1.167	0.765	0.401	0.998	0.658	0.34	837.502
omega_2232_45_0	omega_2232_45	a4f788e8e41345cee653df3554f25b08	0.773	0.607	0.166	1.153	0.801	0.352	0.954	0.715	0.24	910.428
omega_2031_23_0	omega_2031_23	05b0eb1a90f4498c5bb4d2f4fe92a7fa	0.773	0.598	0.175	1.188	0.876	0.311	0.939	0.653	0.286	825.739
omega_3377_48_0	omega_3377_48	ce11875e55c266882ecc2e9578dd78e8	0.773	0.568	0.205	1.294	0.808	0.486	0.918	0.657	0.261	833.507
omega_3129_43_0	omega_3129_43	a152972358c97139e4e19f973c5885b0	0.773	0.633	0.141	1.158	0.866	0.292	0.915	0.701	0.214	889.195
omega_2631_29_0	omega_2631_29	4cd0dffb80db8fa7340bda1ec9d8a71c	0.773	0.613	0.16	1.116	0.821	0.295	0.967	0.708	0.259	900.577
omega_608_2_0	omega_608_2	72f6b6473d47462cac485089e46457fa	0.773	0.551	0.222	1.03	0.731	0.299	1.154	0.692	0.462	884.74
omega_3018_24_0	omega_3018_24	54d7ca7a7a8541307c3d4f55f1a05399	0.773	0.554	0.219	1.165	0.732	0.433	1.002	0.695	0.307	888.641
omega_1509_24_0	omega_1509_24	6e42d29081621a5557c38623101f4166	0.773	0.583	0.19	1.372	0.876	0.496	0.871	0.636	0.235	802.781
omega_3178_2_0	omega_3178_2	f21bf712c377fd2faf9695c6037859a2	0.773	0.552	0.221	1.501	0.952	0.549	0.838	0.568	0.27	712.254
omega_2756_2_0	omega_2756_2	d479c4beb74489f4268b10aa0a6a8aaa	0.773	0.619	0.154	1.158	0.848	0.31	0.931	0.696	0.235	883.125
omega_2614_45_0	omega_2614_45	8cde6f7228c34837e9704f565471ed61	0.773	0.558	0.215	1.054	0.701	0.353	1.087	0.732	0.355	940.816
omega_1880_36_0	omega_1880_36	bf2ea2068f1db98176bcfe84f1d804cd	0.773	0.552	0.221	1.206	0.787	0.419	0.968	0.649	0.319	823.658
omega_1910_11_0	omega_1910_11	ddd1dbb3729f9fc2a33f801fcb69336f	0.773	0.586	0.186	1.207	0.816	0.391	0.938	0.675	0.263	857.419
omega_1913_4_0	omega_1913_4	c1bb0230e6f703a31610cefe680f2e48	0.773	0.641	0.132	1.13	0.841	0.289	0.924	0.729	0.195	927.553
omega_650_4_0	omega_650_4	b34c622ac0545dab823eb2967388381b	0.773	0.578	0.195	1.371	0.917	0.453	0.864	0.609	0.255	766.755
omega_1587_11_0	omega_1587_11	a4e2f3d300975bcc60cc63598ba61666	0.772	0.492	0.28	1.154	0.691	0.463	1.046	0.632	0.415	805.887
omega_2207_18_0	omega_2207_18	8b2c7a10b625b754e641470f070ecc09	0.772	0.542	0.231	1.276	0.847	0.429	0.933	0.6	0.333	757.253
omega_913_8_0	omega_913_8	e421261fc9202889cd10c0520d48d660	0.772	0.657	0.115	1.224	0.869	0.355	0.875	0.73	0.146	927.083
omega_2516_22_0	omega_2516_22	76bc03ad691bba49b9bc2d2ef65e9094	0.772	0.593	0.179	1.213	0.832	0.381	0.927	0.674	0.253	854.553
omega_1648_36_0	omega_1648_36	a418098e930137412e4540f21d9059bb	0.772	0.534	0.239	1.143	0.722	0.422	1.027	0.672	0.355	857.828
omega_37_2_0	omega_37_2	5a3f9dbe4de25326ac719f75f453dd41	0.772	0.572	0.2	1.298	0.868	0.43	0.899	0.626	0.272	790.575
omega_1064_6_0	omega_1064_6	06e62e18f5622e1801eafd4bd9f32802	0.772	0.576	0.196	1.16	0.807	0.353	0.974	0.668	0.306	847.742
omega_3259_31_0	omega_3259_31	f6258143d47b15260d011eff5128ed9a	0.772	0.577	0.195	1.206	0.803	0.402	0.946	0.672	0.274	853.374
omega_1299_6_0	omega_1299_6	54f411e726206c03a09cabf2f328eb8c	0.772	0.607	0.165	1.141	0.817	0.324	0.954	0.702	0.251	893.473
omega_1783_27_0	omega_1783_27	3c9a12242165bf136306a0b30d61a2a0	0.772	0.565	0.207	1.228	0.794	0.433	0.945	0.662	0.284	840.351
